studentId,firstName,lastName,email,password,isVerified,majorPrefix,creditHrs,catalogYear
16,16,16,16,abcd1234,1,CSCE,14,2020-2021
17,17,17,17,abcd1234,1,CSCE,28,2020-2021
18,18,18,18,abcd1234,1,CSCE,34,2020-2021
19,19,19,19,abcd1234,1,CSCE,43,2020-2021
20,20,20,20,abcd1234,1,CSCE,56,2020-2021
21,21,21,21,abcd1234,1,CSCE,66,2019-2020
22,22,22,22,abcd1234,1,CSCE,70,2020-2021
23,23,23,23,abcd1234,1,CSCE,84,2020-2021
24,24,24,24,abcd1234,1,CSCE,93,2019-2020
25,25,25,25,abcd1234,1,CSCE,109,2018-2019
26,26,26,26,abcd1234,1,CSCE,116,2017-2018
27,27,27,27,abcd1234,1,CSCE,116,2017-2018
28,28,28,28,abcd1234,1,CSCE,129,2017-2018
29,29,29,29,abcd1234,1,CSCE,137,2017-2018
30,30,30,30,abcd1234,1,CSCE,145,2017-2018
31,31,31,31,abcd1234,1,CSCE,152,2017-2018
